	P_C2R02	P_bablabjr011	P_donghaensis_HJ51	P_lipolytica_CSB02KR	P_lipolytica_LMEB39	P_N12309	P_CO133X	P_CO302Y	P_OFAV1	P_Ps84H4	P_MEBiC03607	P_APAL1	P_bablabjr004	P_SCSIO43101	P_FE4	P_M1318928	P_Hal040	P_gelatinilytica_NH153	P_porphyrae_MNAD16	P_PA2MD11	P_BZK2	P_MB47	P_bablabjr010	P_Cn537	P_ACER1	P_PAST1	P_SDCH90	P_303	P_shioyasakiensis_BMC4	P_B7P1	P_BZA4	P_shioyasakiensis_28	P_shioyasakiensis_BMC2	P_shioyasakiensis_BMC3	P_shioyasakiensis_BMC5	P_2102	P_2103	P_802	P_D15MCD2	P_shioyasakiensis_M1400201	P_126	P_P18	P_shioyasakiensis_LC2	P_SCSIO43088	P_shioyasakiensis_G21653S1	P_CnMc737	P_CO109Y	P_neustronica_PAMC28425	P_ostereae_hOe125	P_ostereae_hOe124	P_ostereae_hOe66	P_SG415	P_SG436	P_SR456	P_SG418	P_SR416	P_SG437	P_SR445	P_SG412	P_SG441	P_rhizosphaerae_hCg42	P_SR414	P_neustronica_SM1927	P_SG411	P_SR448	P_SG448	P_SG4417	P_SR418	P_2CM36K	P_tetradonis_CSB01KR	P_kknpp56	P_SCSIO	P_SCSIO11900	P_S3173	P_SiA1	P_S3260	P_SK20	P_SK18	P_Scap03	P_scap25	P_scap26	P_undina_NEM01	P_undina_NEM02	P_1161b	P_undina_DSM6065	P_2CM32C	P_ECSMB14103	P_APM04	P_DSM	P_17a	P_1131a	P_125	P_1CM17D	P_agarivorans_DSM14585	P_130	P_P111	P_2CM37A	P_2CM41L	P_agarivorans_S816	P_agarivorans_NW4327	P_S2893	P_espejiana_DSM9414	P_NBRC102222	P_NBRC12985	P_S3178	P_translucida_KMM520	P_KMM661	P_SG445	P_SR454	P_aliena_SW19	P_aliena_EH1	P_SG416	P_SG444	P_SG455	P_fuliginea_KMM216	P_fuliginea_S2292	P_AC163	P_TB25	P_distincta_22A13	P_distincta_KMM3548	P_distincta_16SW7	P_distincta_ATCC700518	P_distincta_LMG14908	P_SG453	P_SG456	P_SG431	P_SG452	P_SG433	P_SR417	P_SG435	P_SG434	P_SR435	P_SR433	P_SR451	P_SR411	P_SG451	P_SR455	P_SR442	P_EKP108	P_SR432	P_SR437	P_SR415	P_SG438	P_SR436	P_arctica_NECBIFX0059	P_EB27	P_arctica_A3712	P_arctica_NECBIFX2020001	P_arctica_NECBIFX2020017	P_tunicata_D2	P_xiamenensis_PSDB	P_spongiae_SAO44	P_spongiae_UST010723006	P_MMG024	P_P19	P_G4	P_piratica_OCN003	P_CO325X	P_SW010604	P_MM172	P_ruthenica_S2756	P_ruthenica_LMG19699	P_ruthenica_S3245	P_CnMc713	P_CnMc715	P_CNC920	P_CNAT218	P_CNAT2181	P_CNAT241	P_aurantia_208	P_citrea_DSM8771	P_citrea_S2231	P_citrea_S2233	P_aurantia_S3790	P_aurantia_S3788	P_aurantia_S3895	P_A25	P_amylolytica_JW1	P_JW3	P_phenolica_S3898	P_phenolica_S1093	P_phenolica_S1189	P_phenolica_KCTC12086	P_phenolica_OBC302	P_BZB3	P_phenolica_S3663	P_SMS1	P_B95	P_P94	P_luteoviolacea_2ta16	P_Of7M16	P_McH142	P_PPB1	P_rubra_DSM6842	P_R96	P_rubra_SCSIO_6842	P_XMcav2N	P_XMcav2N2	P_OOF1S7	P_DL2H22	P_rubra_S2471	P_rubra_S1946	P_viridis_BBR56	P_UG31	P_UG32	P_peptidolytica_F1250A1	P_peptidolytica_DSM14001	P_peptidolytica_NBRC101021	P_McH17	P_SCSIO43201	P_galatheae_S4498	P_M1400202	P_OANN1	P_flavipulchra_S1925	P_NJ631	P_A22	P_flavipulchra_SCSIO43202	P_flavipulchra_NCIMB2033	P_flavipulchra_ATCCBAA314	P_flavipulchra_LMG20361	P_CO342X	P_maricaloris_LMG19692	P_BMB	P_CO348	P_OF7H1	P_HMSA03	P_JC28	P_M8	P_XMcav11Q	P_JC3	P_JC31	P_Of11M6	P_DL2H6	P_DL2H1	P_OF5H5	P_Of5H6
P_citrea_DSM8771	0.772996	0.787352	0.790969	0.787809	0.788293	0.79073	0.785707	0.785318	0.784618	0.783792	0.787942	0.784285	0.786101	0.787893	0.78803	0.784736	0.788401	0.788413	0.787109	0.785887	0.785891	0.787827	0.786293	0.785625	0.788124	0.786994	0.790203	0.786004	0.786652	0.78716	0.788323	0.786842	0.785473	0.785537	0.785999	0.78457	0.785392	0.785101	0.790084	0.786072	0.786177	0.789144	0.785915	0.793988	0.787157	0.788028	0.788578	0.781936	0.78692	0.787954	0.784255	0.781127	0.780962	0.781565	0.78218	0.781882	0.780445	0.781498	0.782744	0.78202	0.785401	0.785819	0.785661	0.784587	0.786712	0.784072	0.784098	0.784151	0.784531	0.785658	0.785848	0.788436	0.787854	0.788429	0.789347	0.783108	0.783256	0.785326	0.786773	0.785604	0.786119	0.785524	0.785982	0.781938	0.786118	0.78495	0.784756	0.790599	0.788225	0.784042	0.782617	0.783243	0.786038	0.790271	0.785319	0.786702	0.785013	0.784579	0.783112	0.78616	0.783057	0.792332	0.785519	0.784134	0.787454	0.786744	0.784845	0.783585	0.78363	0.784865	0.786648	0.783569	0.783048	0.783221	0.781839	0.781477	0.783712	0.783113	0.78149	0.784746	0.785891	0.785291	0.783518	0.782268	0.782231	0.782721	0.782332	0.781124	0.782079	0.784846	0.782818	0.782389	0.784228	0.780829	0.782172	0.781643	0.781581	0.78255	0.781282	0.780344	0.783186	0.782612	0.783152	0.783362	0.782503	0.783195	0.785326	0.785638	0.785166	0.783027	0.787099	0.784958	0.7874	0.783873	0.782265	0.781549	0.796097	0.788821	0.781856	0.782435	0.778955	0.78584	0.78411	0.781411	0.779818	0.782344	0.782601	0.782913	0.782397	0.827648	1	0.896718	0.896964	0.886077	0.886574	0.886942	0.797884	0.795617	0.796765	0.790352	0.789916	0.793229	0.791183	0.790867	0.791008	0.793497	0.784153	0.78871	0.783461	0.783183	0.783956	0.784986	0.7863	0.789459	0.78667	0.78981	0.788103	0.788156	0.786117	0.787071	0.786376	0.784631	0.787681	0.790231	0.789952	0.78698	0.786719	0.786393	0.786109	0.789913	0.792029	0.787178	0.788716	0.787838	0.78735	0.793025	0.793829	0.791776	0.792615	0.790004	0.790675	0.79006	0.789238	0.788064	0.790666	0.790122	0.790345	0.792869	0.790518	0.788967	0.792721	0.789296	0.791346	0.790561	0.790964	0.791125
P_citrea_S2231	0.776506	0.786223	0.786658	0.785195	0.785936	0.784146	0.785284	0.785171	0.783684	0.783967	0.783219	0.784582	0.783773	0.784335	0.784599	0.787586	0.783702	0.784934	0.784218	0.782817	0.782237	0.781302	0.783755	0.782525	0.784666	0.783907	0.784472	0.785958	0.785868	0.783539	0.784134	0.784732	0.785172	0.785057	0.784712	0.785676	0.785248	0.785434	0.785259	0.784449	0.783844	0.78392	0.783044	0.785938	0.784229	0.783956	0.784207	0.78159	0.784499	0.785727	0.785027	0.778246	0.77889	0.777866	0.778156	0.77833	0.780067	0.779806	0.779399	0.778976	0.782061	0.781558	0.78019	0.780127	0.780498	0.78196	0.781599	0.779806	0.782392	0.782071	0.781758	0.782646	0.782964	0.78208	0.781509	0.78165	0.780716	0.782127	0.781913	0.782549	0.782342	0.782027	0.78183	0.780979	0.783267	0.782831	0.78345	0.783514	0.783066	0.78203	0.781018	0.781773	0.782897	0.783386	0.781755	0.782329	0.784134	0.782945	0.784226	0.785291	0.783331	0.785384	0.78457	0.782394	0.783011	0.778977	0.779696	0.780244	0.779477	0.781614	0.78168	0.780887	0.7796	0.779491	0.782187	0.78176	0.781672	0.782242	0.781272	0.782397	0.782831	0.783005	0.783928	0.781964	0.782494	0.783484	0.783356	0.782259	0.781801	0.781768	0.781845	0.7826	0.784128	0.782739	0.782574	0.782231	0.781304	0.78191	0.781851	0.78288	0.783112	0.782009	0.78177	0.781833	0.781941	0.781048	0.778858	0.782042	0.782152	0.776504	0.781828	0.778193	0.779874	0.781079	0.779593	0.781157	0.781052	0.781047	0.780387	0.78265	0.780348	0.778679	0.780819	0.778863	0.778662	0.782574	0.780303	0.780702	0.780357	0.82493	0.895699	1	0.999902	0.940997	0.94228	0.94214	0.792148	0.793807	0.794325	0.789798	0.789735	0.7907	0.785597	0.786173	0.789648	0.788777	0.782973	0.782413	0.7846	0.784706	0.78562	0.784417	0.785381	0.78524	0.784112	0.784987	0.788242	0.787329	0.783715	0.785053	0.783835	0.782022	0.782429	0.785307	0.78513	0.783684	0.784325	0.783747	0.784538	0.784026	0.784971	0.785172	0.785131	0.786485	0.785396	0.788336	0.787835	0.787527	0.787637	0.788589	0.788673	0.784519	0.785555	0.78642	0.786995	0.788295	0.786539	0.784171	0.786025	0.787467	0.786598	0.7862	0.785552	0.786363	0.786308	0.786651
P_citrea_S2233	0.77597	0.787044	0.787074	0.784601	0.786094	0.783019	0.782976	0.782794	0.785339	0.784756	0.784953	0.78599	0.785071	0.783122	0.784291	0.787067	0.783952	0.785935	0.786108	0.784095	0.785463	0.783836	0.787585	0.785406	0.787155	0.786707	0.785896	0.787776	0.787929	0.785256	0.785734	0.78825	0.7876	0.787847	0.786991	0.787819	0.787359	0.787535	0.788153	0.785855	0.786277	0.787222	0.786732	0.789835	0.786289	0.78689	0.787902	0.783399	0.785759	0.786516	0.78524	0.778812	0.781553	0.780555	0.780265	0.780926	0.780694	0.780165	0.781742	0.780393	0.781718	0.781461	0.781032	0.780321	0.781334	0.78203	0.781371	0.781075	0.785286	0.78446	0.784562	0.784563	0.787434	0.782778	0.783249	0.782027	0.782541	0.784721	0.78387	0.783133	0.78342	0.785973	0.785909	0.783719	0.785776	0.782466	0.7836	0.78481	0.784302	0.78137	0.78025	0.78036	0.784776	0.785481	0.782969	0.785007	0.783821	0.784606	0.784355	0.785419	0.784894	0.787199	0.785726	0.784298	0.785972	0.781836	0.782384	0.780837	0.783058	0.782907	0.783114	0.782454	0.782671	0.781817	0.78305	0.783121	0.78375	0.783748	0.779933	0.783603	0.782775	0.78203	0.781926	0.78275	0.782205	0.781895	0.781434	0.782199	0.780609	0.782401	0.780445	0.783148	0.78221	0.78214	0.782999	0.781501	0.781442	0.783079	0.781376	0.782097	0.783064	0.781898	0.781904	0.78216	0.783263	0.78329	0.781354	0.781001	0.78228	0.778433	0.78259	0.779956	0.782843	0.783753	0.781761	0.78075	0.781992	0.780858	0.780787	0.78396	0.783003	0.782388	0.78108	0.781381	0.779655	0.783991	0.781068	0.781626	0.781373	0.827308	0.895013	0.999607	1	0.941685	0.942193	0.941923	0.79233	0.794462	0.795217	0.789229	0.789062	0.791225	0.788461	0.789253	0.791215	0.790201	0.782615	0.783164	0.785533	0.784608	0.785987	0.78488	0.784815	0.784202	0.782209	0.78497	0.783213	0.783133	0.780362	0.780417	0.778883	0.781517	0.781985	0.786637	0.786651	0.784414	0.784276	0.783602	0.783678	0.782821	0.785346	0.785801	0.785139	0.787714	0.783977	0.790399	0.788913	0.788898	0.789097	0.787837	0.7891	0.785218	0.786571	0.788636	0.787951	0.789556	0.786528	0.78514	0.785569	0.786691	0.786712	0.785605	0.783444	0.784653	0.784257	0.784532
P_aurantia_S3790	0.775672	0.785086	0.785512	0.786006	0.786708	0.782711	0.781564	0.781551	0.782874	0.782465	0.784014	0.783409	0.782942	0.78208	0.782876	0.782168	0.784396	0.782257	0.786292	0.784062	0.782603	0.783276	0.784172	0.785315	0.785408	0.78528	0.784595	0.784253	0.784363	0.782312	0.782809	0.783637	0.783801	0.78335	0.783448	0.782739	0.783201	0.783332	0.782884	0.784838	0.783722	0.784274	0.784047	0.784986	0.785853	0.782397	0.783646	0.781424	0.78252	0.782264	0.781442	0.780589	0.780716	0.781422	0.780903	0.782476	0.779889	0.781503	0.782303	0.780522	0.782083	0.78253	0.780231	0.780548	0.779662	0.781382	0.781646	0.780172	0.784264	0.783651	0.783685	0.783356	0.784957	0.78337	0.782129	0.783981	0.784016	0.783641	0.78504	0.782998	0.783065	0.784949	0.785307	0.78375	0.785924	0.782435	0.78341	0.785201	0.783465	0.782303	0.785108	0.783749	0.783629	0.785049	0.785018	0.786467	0.784792	0.785442	0.785119	0.785621	0.782781	0.785984	0.784108	0.785807	0.785448	0.780372	0.782745	0.781485	0.781472	0.781898	0.780883	0.782321	0.782493	0.781435	0.78169	0.78202	0.782766	0.782403	0.782181	0.781877	0.780156	0.780746	0.780983	0.782009	0.782154	0.783322	0.780196	0.782033	0.781626	0.78573	0.78114	0.781237	0.781952	0.781361	0.781636	0.780874	0.781401	0.781591	0.779289	0.781996	0.780987	0.780881	0.780763	0.781026	0.780319	0.779347	0.780411	0.779816	0.779409	0.776838	0.782204	0.782645	0.784329	0.781735	0.782611	0.779427	0.781019	0.787291	0.781041	0.785229	0.783727	0.783903	0.786799	0.780833	0.78074	0.782928	0.782888	0.782636	0.782773	0.824714	0.885204	0.942697	0.942602	1	0.994098	0.994899	0.791456	0.794026	0.794415	0.792653	0.791621	0.792736	0.787707	0.788395	0.78794	0.789636	0.782049	0.781856	0.785405	0.783227	0.783552	0.78387	0.785045	0.78708	0.783172	0.785756	0.783581	0.783306	0.78466	0.785536	0.783289	0.78501	0.785613	0.787747	0.787735	0.784774	0.784527	0.784976	0.783874	0.784979	0.787786	0.786188	0.790837	0.786665	0.784555	0.785362	0.785561	0.785454	0.786589	0.78531	0.785768	0.785429	0.785063	0.785307	0.784947	0.784417	0.78328	0.783427	0.785019	0.782979	0.784422	0.783402	0.782889	0.784538	0.783537	0.783872
P_aurantia_S3788	0.775315	0.787536	0.787346	0.78769	0.787035	0.785028	0.78459	0.784605	0.78273	0.784786	0.785649	0.784214	0.78357	0.785017	0.785264	0.784698	0.78467	0.785018	0.787595	0.786126	0.785445	0.784344	0.787494	0.78786	0.787003	0.786731	0.785462	0.787145	0.786369	0.785622	0.785759	0.786654	0.784722	0.78507	0.784253	0.784936	0.784373	0.784598	0.78564	0.786622	0.78723	0.787573	0.785823	0.786546	0.787148	0.786025	0.786348	0.781266	0.784166	0.785315	0.784937	0.781385	0.780607	0.781908	0.780372	0.781579	0.78204	0.781252	0.78139	0.781535	0.782704	0.780416	0.780503	0.780475	0.77943	0.781535	0.781326	0.781765	0.783836	0.782803	0.785239	0.783874	0.785676	0.783088	0.784019	0.783913	0.784693	0.784456	0.784721	0.784473	0.78452	0.787436	0.787178	0.786454	0.787509	0.782832	0.783098	0.783698	0.783796	0.780694	0.782788	0.783296	0.784058	0.787032	0.785098	0.785418	0.785706	0.784867	0.784983	0.784945	0.784549	0.785209	0.784831	0.786691	0.785833	0.782334	0.78435	0.783462	0.781893	0.7815	0.781003	0.781154	0.781932	0.781567	0.781796	0.782316	0.781732	0.782127	0.780887	0.782634	0.780197	0.783212	0.78226	0.782605	0.782239	0.781241	0.780264	0.782123	0.781228	0.781984	0.78281	0.781836	0.782006	0.782842	0.782575	0.781752	0.782027	0.781351	0.780319	0.781104	0.780336	0.780991	0.780919	0.78029	0.781217	0.780989	0.77838	0.782776	0.779784	0.778291	0.782541	0.785792	0.784547	0.783935	0.782022	0.783032	0.783426	0.787967	0.786357	0.785672	0.784819	0.784462	0.785997	0.784681	0.783314	0.786624	0.788002	0.787266	0.786948	0.827085	0.886974	0.943089	0.943067	0.993882	1	0.994968	0.794027	0.794032	0.794223	0.794653	0.793263	0.794666	0.787904	0.788515	0.78968	0.789305	0.781306	0.784366	0.78603	0.782441	0.783207	0.783755	0.785109	0.791972	0.784685	0.788358	0.785148	0.78516	0.78302	0.785977	0.784695	0.784441	0.785228	0.786599	0.786068	0.788321	0.789005	0.78822	0.786769	0.787356	0.789372	0.787214	0.789341	0.788308	0.786218	0.788737	0.787654	0.787513	0.788903	0.788379	0.788147	0.786819	0.789012	0.787793	0.786832	0.786877	0.784631	0.785124	0.784147	0.785896	0.787016	0.785259	0.784874	0.787254	0.786822	0.786926
P_aurantia_S3895	0.775778	0.783936	0.782927	0.7837	0.782953	0.781959	0.780954	0.78124	0.782399	0.781913	0.784323	0.784114	0.783075	0.781642	0.782903	0.782769	0.784364	0.783307	0.785653	0.786071	0.783935	0.784796	0.785146	0.785256	0.787101	0.786601	0.783454	0.785405	0.784705	0.782705	0.782954	0.785197	0.783406	0.78407	0.783301	0.784389	0.784299	0.784712	0.785901	0.785315	0.78514	0.784028	0.784614	0.783351	0.785737	0.785048	0.785234	0.782371	0.781448	0.781899	0.781121	0.777446	0.777193	0.779411	0.778754	0.779172	0.777319	0.778773	0.779377	0.778277	0.780753	0.779112	0.777898	0.777482	0.77788	0.779843	0.780342	0.77919	0.781931	0.783105	0.782243	0.782055	0.784825	0.782562	0.78219	0.782597	0.782861	0.784776	0.784204	0.783162	0.784319	0.784459	0.784306	0.783124	0.784005	0.781615	0.78345	0.783511	0.782126	0.782095	0.781408	0.781852	0.783085	0.786747	0.787405	0.787178	0.7853	0.785002	0.786361	0.784894	0.785048	0.783979	0.782582	0.783187	0.785256	0.783067	0.781025	0.780447	0.780925	0.780943	0.779754	0.781374	0.781265	0.780615	0.783292	0.783076	0.783084	0.783899	0.780635	0.781621	0.780788	0.781782	0.780628	0.78034	0.781161	0.780608	0.778843	0.781354	0.780337	0.780934	0.781325	0.78044	0.780514	0.781318	0.781345	0.780396	0.781057	0.782758	0.779554	0.781259	0.781729	0.78238	0.781717	0.782274	0.780533	0.781591	0.779379	0.780854	0.780473	0.77713	0.784502	0.783521	0.783173	0.780528	0.783034	0.782999	0.780387	0.783516	0.783238	0.782803	0.7841	0.783299	0.782629	0.781425	0.780783	0.783713	0.783103	0.782563	0.782096	0.828015	0.886696	0.942921	0.942621	0.994364	0.995403	1	0.79374	0.795819	0.796376	0.792108	0.790976	0.791316	0.788683	0.789016	0.789996	0.790418	0.782221	0.782942	0.786436	0.78316	0.783661	0.784777	0.784165	0.786172	0.784447	0.787922	0.782983	0.783036	0.784843	0.785807	0.784251	0.784937	0.784829	0.787187	0.787587	0.785378	0.785142	0.785355	0.785164	0.785626	0.787332	0.786157	0.787977	0.786834	0.786212	0.786618	0.786694	0.785297	0.785901	0.784561	0.785656	0.784941	0.785445	0.785345	0.785343	0.784954	0.783468	0.781799	0.784015	0.783425	0.78352	0.783809	0.78309	0.784617	0.783992	0.784188
P_A25	0.776901	0.78643	0.793298	0.787697	0.787185	0.791633	0.786033	0.786038	0.786733	0.788258	0.79222	0.788031	0.787627	0.792992	0.791908	0.787567	0.794661	0.788788	0.787876	0.78881	0.787729	0.788574	0.787796	0.787147	0.786992	0.785968	0.795563	0.788725	0.789001	0.786462	0.787369	0.788574	0.787887	0.787439	0.787329	0.787249	0.787343	0.787049	0.794554	0.787147	0.787674	0.789879	0.786656	0.79472	0.788864	0.78843	0.789718	0.784261	0.788095	0.788606	0.784364	0.783595	0.783336	0.784204	0.783931	0.783636	0.783387	0.783356	0.784698	0.784359	0.791454	0.785213	0.786193	0.784396	0.785985	0.785251	0.784335	0.785153	0.787476	0.786775	0.785468	0.792472	0.791253	0.786018	0.788415	0.78668	0.786795	0.78727	0.788027	0.791218	0.790549	0.790098	0.789706	0.78352	0.788335	0.783352	0.783211	0.789357	0.785085	0.782797	0.782174	0.782424	0.784842	0.788606	0.784609	0.783792	0.785092	0.783163	0.78476	0.785454	0.783893	0.790302	0.784168	0.784758	0.787976	0.792747	0.78987	0.78634	0.786174	0.780509	0.787623	0.779222	0.779074	0.77942	0.784596	0.785476	0.784271	0.783913	0.780952	0.786327	0.785187	0.785466	0.782826	0.783536	0.783244	0.783855	0.7846	0.784198	0.782964	0.784236	0.78214	0.783911	0.783957	0.782065	0.783646	0.78203	0.782733	0.783684	0.781311	0.782166	0.783413	0.782579	0.782807	0.783395	0.785141	0.783819	0.793804	0.787247	0.784225	0.789048	0.792455	0.795575	0.796765	0.788682	0.784302	0.787849	0.795797	0.787391	0.789874	0.789184	0.787999	0.792946	0.787994	0.787302	0.787197	0.787277	0.788331	0.787815	0.787872	0.795003	0.799424	0.791957	0.793358	0.793239	0.79284	0.792248	1	0.808929	0.809752	0.788832	0.789263	0.790094	0.793037	0.790901	0.789479	0.791203	0.789322	0.791237	0.787092	0.786821	0.78816	0.785981	0.787832	0.791058	0.789728	0.796776	0.789171	0.789312	0.790575	0.792638	0.791229	0.789501	0.795129	0.790444	0.788562	0.791745	0.790576	0.788581	0.789609	0.796838	0.795499	0.789693	0.790733	0.78959	0.787704	0.797213	0.795232	0.790736	0.792307	0.789933	0.79115	0.791363	0.789221	0.791562	0.791272	0.790951	0.790876	0.793699	0.790918	0.790018	0.794003	0.79095	0.790384	0.789601	0.789088	0.788845
P_amylolytica_JW1	0.777602	0.788041	0.790776	0.787787	0.789383	0.795461	0.78603	0.786063	0.788651	0.789112	0.791177	0.78747	0.787893	0.790107	0.788827	0.787969	0.788683	0.789279	0.792285	0.787641	0.789005	0.788906	0.788312	0.790099	0.789151	0.789096	0.792037	0.789557	0.790678	0.790104	0.789214	0.789925	0.790386	0.789181	0.790663	0.788585	0.789067	0.789257	0.791827	0.788948	0.78601	0.790169	0.787211	0.790939	0.787442	0.788905	0.790246	0.784097	0.787113	0.788076	0.785552	0.781102	0.78119	0.782596	0.782495	0.782591	0.782457	0.782821	0.782238	0.782451	0.785144	0.782093	0.782061	0.781371	0.781339	0.781766	0.781673	0.782569	0.780578	0.782017	0.781694	0.783765	0.783583	0.780703	0.78315	0.780941	0.783202	0.783093	0.785102	0.785932	0.786018	0.786773	0.786081	0.781908	0.783793	0.783176	0.784271	0.785432	0.784272	0.784019	0.783408	0.783445	0.787406	0.78729	0.784983	0.785086	0.786547	0.78451	0.785271	0.78737	0.787484	0.78874	0.784989	0.783638	0.78537	0.785046	0.787147	0.783671	0.781974	0.788071	0.787615	0.782308	0.78251	0.782124	0.78205	0.78192	0.784957	0.785202	0.781677	0.78696	0.784155	0.782049	0.780014	0.780188	0.780355	0.78158	0.780974	0.78123	0.781755	0.783316	0.782399	0.782458	0.783218	0.782624	0.781711	0.78107	0.783914	0.781032	0.780115	0.781671	0.781184	0.780789	0.781342	0.781885	0.781703	0.782276	0.786476	0.783753	0.78266	0.782346	0.789374	0.789621	0.787049	0.789434	0.783232	0.784155	0.78814	0.786675	0.787567	0.787932	0.785642	0.788972	0.786762	0.784618	0.784491	0.786092	0.784953	0.784675	0.785094	0.793947	0.796415	0.792274	0.794142	0.793836	0.794509	0.794833	0.810938	1	0.999911	0.791744	0.790875	0.789993	0.79318	0.793078	0.794676	0.793981	0.790946	0.789739	0.787759	0.787927	0.788481	0.784706	0.785739	0.789637	0.788352	0.792396	0.788033	0.78774	0.787703	0.787021	0.789485	0.788	0.790233	0.793211	0.792495	0.791084	0.791033	0.789292	0.787989	0.791996	0.790408	0.78696	0.789949	0.791732	0.788681	0.790557	0.790119	0.788818	0.79005	0.789123	0.789859	0.789671	0.788802	0.787612	0.792017	0.787609	0.792763	0.792018	0.79356	0.788975	0.792352	0.789655	0.791283	0.792054	0.790849	0.790897
P_JW3	0.778658	0.788272	0.790808	0.788377	0.789156	0.793897	0.784108	0.784424	0.787652	0.788113	0.791798	0.786769	0.788489	0.788818	0.788349	0.787056	0.789464	0.78848	0.791377	0.7855	0.78603	0.78564	0.786549	0.787023	0.787947	0.787032	0.789288	0.787841	0.787963	0.786776	0.787628	0.787231	0.787834	0.788359	0.78823	0.786652	0.785966	0.787282	0.790504	0.787976	0.784036	0.788045	0.785783	0.790946	0.787743	0.788044	0.790423	0.784246	0.78599	0.788167	0.784734	0.783103	0.783689	0.783535	0.783845	0.784084	0.781912	0.783485	0.783538	0.783491	0.786994	0.783717	0.783176	0.782923	0.783219	0.78399	0.78344	0.783183	0.780705	0.781942	0.781613	0.784969	0.783725	0.783718	0.785738	0.78185	0.782914	0.784878	0.784635	0.784925	0.785212	0.787572	0.786821	0.783201	0.786373	0.783608	0.784231	0.786004	0.78443	0.785109	0.785053	0.784268	0.787549	0.78895	0.786059	0.783925	0.785383	0.78465	0.786292	0.788365	0.786624	0.790127	0.787444	0.785024	0.787358	0.784872	0.785716	0.781705	0.781388	0.790794	0.789877	0.784542	0.783924	0.783376	0.782983	0.783334	0.7846	0.783778	0.781748	0.78731	0.784241	0.78344	0.781626	0.781611	0.782221	0.781693	0.780687	0.781672	0.782238	0.783223	0.78166	0.783521	0.781493	0.780688	0.78113	0.781744	0.781509	0.782651	0.779743	0.782222	0.781453	0.78091	0.781076	0.781895	0.780845	0.782401	0.787598	0.782501	0.783632	0.781576	0.792213	0.787713	0.788037	0.786222	0.782383	0.783519	0.789661	0.786161	0.788272	0.786782	0.783891	0.789955	0.786834	0.785822	0.785086	0.787743	0.786632	0.785056	0.784688	0.794701	0.798328	0.790986	0.793419	0.794422	0.795181	0.794559	0.810507	0.99995	1	0.790855	0.791993	0.789832	0.792496	0.792651	0.793416	0.791733	0.790445	0.788521	0.788186	0.788813	0.789402	0.784251	0.785268	0.788174	0.787755	0.791721	0.787596	0.787999	0.787996	0.787754	0.787902	0.788579	0.791393	0.792493	0.791902	0.792194	0.790486	0.789208	0.787986	0.793521	0.791082	0.788101	0.790157	0.792251	0.788752	0.793097	0.793486	0.790779	0.790838	0.789735	0.791343	0.790742	0.790256	0.789238	0.792864	0.789286	0.793499	0.793277	0.792681	0.789889	0.794652	0.788971	0.792796	0.793635	0.793154	0.793005
P_phenolica_S3898	0.772171	0.785233	0.784529	0.782921	0.784517	0.786335	0.786101	0.786105	0.785878	0.786091	0.788333	0.784798	0.784327	0.785162	0.784409	0.785933	0.787067	0.786892	0.787754	0.785872	0.785485	0.785329	0.785264	0.786864	0.78711	0.78757	0.785309	0.782944	0.7844	0.784961	0.785227	0.784464	0.785871	0.785889	0.785782	0.784795	0.785102	0.785459	0.784785	0.784137	0.784497	0.784508	0.784917	0.785204	0.786275	0.785742	0.784662	0.778878	0.780019	0.781089	0.780252	0.778064	0.778723	0.778447	0.779357	0.779029	0.778582	0.778558	0.778941	0.779262	0.779125	0.778477	0.778426	0.778592	0.778944	0.778896	0.779358	0.778285	0.781513	0.782647	0.782703	0.782287	0.783184	0.779939	0.782508	0.782625	0.78198	0.779355	0.780928	0.781634	0.781779	0.780842	0.780331	0.779696	0.781886	0.779354	0.780123	0.779299	0.77865	0.780031	0.779281	0.779264	0.78044	0.781337	0.780883	0.778672	0.778886	0.781108	0.780327	0.780052	0.780044	0.779516	0.780162	0.777632	0.778398	0.776742	0.777477	0.776787	0.776991	0.77758	0.777998	0.778798	0.778541	0.77878	0.77724	0.777857	0.779851	0.779396	0.778766	0.780304	0.779575	0.777315	0.77767	0.777902	0.778722	0.780517	0.778409	0.778508	0.780212	0.779234	0.780258	0.780076	0.779441	0.779986	0.780907	0.778878	0.779776	0.779302	0.778947	0.779343	0.78034	0.778704	0.778143	0.777327	0.778842	0.77766	0.778987	0.779949	0.779986	0.774181	0.782073	0.789765	0.788286	0.790069	0.788308	0.791981	0.789694	0.780567	0.780765	0.779352	0.780331	0.780659	0.77933	0.780455	0.780708	0.782307	0.781049	0.780473	0.780534	0.78432	0.789155	0.789166	0.78959	0.793981	0.792583	0.791997	0.789025	0.790287	0.791128	1	0.968894	0.969823	0.888477	0.888546	0.912155	0.901701	0.790517	0.789946	0.79056	0.787771	0.787687	0.784481	0.782957	0.78823	0.785788	0.784194	0.787417	0.787128	0.786324	0.786768	0.786442	0.787401	0.784752	0.786998	0.786282	0.78678	0.785775	0.787169	0.788725	0.789855	0.788031	0.79023	0.789111	0.787542	0.787679	0.788117	0.787975	0.78819	0.788682	0.787742	0.78692	0.788785	0.787265	0.786737	0.789352	0.788032	0.789126	0.789672	0.790784	0.789094	0.788128	0.789174	0.789257	0.790549	0.789955	0.790268
